номер аудиофайла	порядковый номер	правильный ответ	неправильный ответ1	неправильный ответ2	неправильный ответ3	!	?	.		контрольная сумма
768	32	Дворник метёт 	Дворник метёт.	Дворник метёт?	Дворник метёт!	4	3	2	1	=SUM(G33:J33)
531	33	Строитель строит.	Строитель строит 	Строитель строит?	Строитель строит!	3	4	2	1	=SUM(G34:J34)
8	34	Каменщик кладёт!	Каменщик кладёт.	Каменщик кладёт?	Каменщик кладёт 	1	3	2	4	=SUM(G35:J35)
215	35	Маляр красит?	Маляр красит!	Маляр красит 	Маляр красит.	2	1	4	3	=SUM(G36:J36)
9	36	Плотник пилит!	Плотник пилит?	Плотник пилит.	Плотник пилит 	1	2	3	4	=SUM(G37:J37)
216	37	Столяр строгает?	Столяр строгает.	Столяр строгает 	Столяр строгает!	2	3	4	1	=SUM(G38:J38)
532	38	Токарь точит.	Токарь точит 	Токарь точит!	Токарь точит?	3	4	1	2	=SUM(G39:J39)
769	39	Слесарь чинит 	Слесарь чинит?	Слесарь чинит.	Слесарь чинит!	4	2	3	1	=SUM(G40:J40)
533	40	Электрик включает.	Электрик включает 	Электрик включает!	Электрик включает?	3	4	1	2	=SUM(G41:J41)
10	41	Механик чинит!	Механик чинит.	Механик чинит?	Механик чинит 	1	3	2	4	=SUM(G42:J42)
217	42	Автомеханик меняет?	Автомеханик меняет!	Автомеханик меняет 	Автомеханик меняет.	2	1	4	3	=SUM(G43:J43)
770	43	Портной шьёт 	Портной шьёт!	Портной шьёт.	Портной шьёт?	4	1	3	2	=SUM(G44:J44)
218	44	Швея шьёт?	Швея шьёт.	Швея шьёт!	Швея шьёт 	2	3	1	4	=SUM(G45:J45)
771	45	Модельер создаёт 	Модельер создаёт.	Модельер создаёт?	Модельер создаёт!	4	3	2	1	=SUM(G46:J46)
534	46	Дизайнер проектирует.	Дизайнер проектирует 	Дизайнер проектирует?	Дизайнер проектирует!	3	4	2	1	=SUM(G47:J47)
219	47	Архитектор чертит?	Архитектор чертит.	Архитектор чертит 	Архитектор чертит!	2	3	4	1	=SUM(G48:J48)
535	48	Инженер считает.	Инженер считает 	Инженер считает!	Инженер считает?	3	4	1	2	=SUM(G49:J49)
772	49	Учёный исследует 	Учёный исследует?	Учёный исследует.	Учёный исследует!	4	2	3	1	=SUM(G50:J50)
536	50	Студент учится.	Студент учится 	Студент учится!	Студент учится?	3	4	1	2	=SUM(G51:J51)
11	51	Школьник читает!	Школьник читает.	Школьник читает?	Школьник читает 	1	3	2	4	=SUM(G52:J52)
220	52	Библиотекарь выдаёт?	Библиотекарь выдаёт!	Библиотекарь выдаёт 	Библиотекарь выдаёт.	2	1	4	3	=SUM(G53:J53)
773	53	Продавец продаёт 	Продавец продаёт!	Продавец продаёт.	Продавец продаёт?	4	1	3	2	=SUM(G54:J54)
221	54	Покупатель покупает?	Покупатель покупает.	Покупатель покупает!	Покупатель покупает 	2	3	1	4	=SUM(G55:J55)
774	55	Курьер доставляет 	Курьер доставляет.	Курьер доставляет?	Курьер доставляет!	4	3	2	1	=SUM(G56:J56)
537	56	Почтальон приносит.	Почтальон приносит 	Почтальон приносит?	Почтальон приносит!	3	4	2	1	=SUM(G57:J57)
12	57	Водитель везёт!	Водитель везёт.	Водитель везёт?	Водитель везёт 	1	3	2	4	=SUM(G58:J58)
222	58	Пассажир ждёт?	Пассажир ждёт!	Пассажир ждёт 	Пассажир ждёт.	2	1	4	3	=SUM(G59:J59)
13	59	Проводник проверяет!	Проводник проверяет?	Проводник проверяет.	Проводник проверяет 	1	2	3	4	=SUM(G60:J60)
223	60	Кондуктор продаёт?	Кондуктор продаёт.	Кондуктор продаёт 	Кондуктор продаёт!	2	3	4	1	=SUM(G61:J61)
538	61	Охранник следит.	Охранник следит 	Охранник следит!	Охранник следит?	3	4	1	2	=SUM(G62:J62)
775	62	Полицейский охраняет 	Полицейский охраняет?	Полицейский охраняет.	Полицейский охраняет!	4	2	3	1	=SUM(G63:J63)
539	63	Врач лечит.	Врач лечит 	Врач лечит!	Врач лечит?	3	4	1	2	=SUM(G64:J64)
14	64	Медсестра помогает!	Медсестра помогает.	Медсестра помогает?	Медсестра помогает 	1	3	2	4	=SUM(G65:J65)
224	65	Санитар убирает?	Санитар убирает!	Санитар убирает 	Санитар убирает.	2	1	4	3	=SUM(G66:J66)
776	66	Няня заботится 	Няня заботится!	Няня заботится.	Няня заботится?	4	1	3	2	=SUM(G67:J67)
225	67	Бабушка печёт?	Бабушка печёт.	Бабушка печёт!	Бабушка печёт 	2	3	1	4	=SUM(G68:J68)
777	68	Дедушка рассказывает 	Дедушка рассказывает.	Дедушка рассказывает?	Дедушка рассказывает!	4	3	2	1	=SUM(G69:J69)
540	69	Друг помогает.	Друг помогает 	Друг помогает?	Друг помогает!	3	4	2	1	=SUM(G70:J70)
15	70	Враг преследует!	Враг преследует.	Враг преследует?	Враг преследует 	1	3	2	4	=SUM(G71:J71)
226	71	Сосед стучит?	Сосед стучит!	Сосед стучит 	Сосед стучит.	2	1	4	3	=SUM(G72:J72)
541	72	Гость приходит.	Гость приходит 	Гость приходит!	Гость приходит?	3	4	1	2	=SUM(G73:J73)
16	73	Хозяин встречает!	Хозяин встречает.	Хозяин встречает?	Хозяин встречает 	1	3	2	4	=SUM(G74:J74)
227	74	Я иду?	Я иду!	Я иду 	Я иду.	2	1	4	3	=SUM(G75:J75)
778	75	Она спит 	Она спит!	Она спит.	Она спит?	4	1	3	2	=SUM(G76:J76)
228	76	Он читает?	Он читает.	Он читает!	Он читает 	2	3	1	4	=SUM(G77:J77)
779	77	Мы едем 	Мы едем.	Мы едем?	Мы едем!	4	3	2	1	=SUM(G78:J78)
542	78	Вы пишите.	Вы пишите 	Вы пишите?	Вы пишите!	3	4	2	1	=SUM(G79:J79)
17	79	Они говорят!	Они говорят.	Они говорят?	Они говорят 	1	3	2	4	=SUM(G80:J80)
229	80	Солнце светит?	Солнце светит!	Солнце светит 	Солнце светит.	2	1	4	3	=SUM(G81:J81)
18	81	Дождь идёт!	Дождь идёт?	Дождь идёт.	Дождь идёт 	1	2	3	4	=SUM(G82:J82)
230	82	Ветер дует?	Ветер дует.	Ветер дует 	Ветер дует!	2	3	4	1	=SUM(G83:J83)
543	83	Ребёнок плачет.	Ребёнок плачет 	Ребёнок плачет!	Ребёнок плачет?	3	4	1	2	=SUM(G84:J84)
780	84	Собака лает 	Собака лает?	Собака лает.	Собака лает!	4	2	3	1	=SUM(G85:J85)
231	85	Кошка мяукает?	Кошка мяукает.	Кошка мяукает 	Кошка мяукает!	2	3	4	1	=SUM(G86:J86)
544	86	Птица поёт.	Птица поёт 	Птица поёт!	Птица поёт?	3	4	1	2	=SUM(G87:J87)
781	87	Часы идут 	Часы идут?	Часы идут.	Часы идут!	4	2	3	1	=SUM(G88:J88)
545	88	Огонь горит.	Огонь горит 	Огонь горит!	Огонь горит?	3	4	1	2	=SUM(G89:J89)
19	89	Вода течёт!	Вода течёт.	Вода течёт?	Вода течёт 	1	3	2	4	=SUM(G90:J90)
232	90	Лист падает?	Лист падает!	Лист падает 	Лист падает.	2	1	4	3	=SUM(G91:J91)
782	91	Дверь скрипит 	Дверь скрипит!	Дверь скрипит.	Дверь скрипит?	4	1	3	2	=SUM(G92:J92)
233	92	Звонок звенит?	Звонок звенит.	Звонок звенит!	Звонок звенит 	2	3	1	4	=SUM(G93:J93)
783	93	Мотор работает 	Мотор работает.	Мотор работает?	Мотор работает!	4	3	2	1	=SUM(G94:J94)
546	94	Я знаю.	Я знаю 	Я знаю?	Я знаю!	3	4	2	1	=SUM(G95:J95)
20	95	Ты видишь!	Ты видишь.	Ты видишь?	Ты видишь 	1	3	2	4	=SUM(G96:J96)
234	96	Он слышит?	Он слышит!	Он слышит 	Он слышит.	2	1	4	3	=SUM(G97:J97)
547	97	Она чувствует.	Она чувствует 	Она чувствует!	Она чувствует?	3	4	1	2	=SUM(G98:J98)
21	98	Мы помним!	Мы помним.	Мы помним?	Мы помним 	1	3	2	4	=SUM(G99:J99)
235	99	Вы понимаете?	Вы понимаете!	Вы понимаете 	Вы понимаете.	2	1	4	3	=SUM(G100:J100)
784	100	Они думают 	Они думают!	Они думают.	Они думают?	4	1	3	2	=SUM(G101:J101)
236	101	Я хочу?	Я хочу.	Я хочу!	Я хочу 	2	3	1	4	=SUM(G102:J102)
785	102	Ты можешь 	Ты можешь.	Ты можешь?	Ты можешь!	4	3	2	1	=SUM(G103:J103)
548	103	Он должен.	Он должен 	Он должен?	Он должен!	3	4	2	1	=SUM(G104:J104)
22	104	Она любит!	Она любит.	Она любит?	Она любит 	1	3	2	4	=SUM(G105:J105)
237	105	Мы ценим?	Мы ценим!	Мы ценим 	Мы ценим.	2	1	4	3	=SUM(G106:J106)
23	106	Вы уважаете!	Вы уважаете?	Вы уважаете.	Вы уважаете 	1	2	3	4	=SUM(G107:J107)
238	107	Они ждут?	Они ждут.	Они ждут 	Они ждут!	2	3	4	1	=SUM(G108:J108)
549	108	Я беру.	Я беру 	Я беру!	Я беру?	3	4	1	2	=SUM(G109:J109)
786	109	Ты даёшь 	Ты даёшь?	Ты даёшь.	Ты даёшь!	4	2	3	1	=SUM(G110:J110)
550	110	Он берёт.	Он берёт 	Он берёт!	Он берёт?	3	4	1	2	=SUM(G111:J111)
24	111	Она отдаёт!	Она отдаёт.	Она отдаёт?	Она отдаёт 	1	3	2	4	=SUM(G112:J112)
239	112	Мы носим?	Мы носим!	Мы носим 	Мы носим.	2	1	4	3	=SUM(G113:J113)
787	113	Вы кладете 	Вы кладете!	Вы кладете.	Вы кладете?	4	1	3	2	=SUM(G114:J114)
240	114	Они держат?	Они держат.	Они держат!	Они держат 	2	3	1	4	=SUM(G115:J115)
788	115	Я пишу 	Я пишу.	Я пишу?	Я пишу!	4	3	2	1	=SUM(G116:J116)
551	116	Ты рисуешь.	Ты рисуешь 	Ты рисуешь?	Ты рисуешь!	3	4	2	1	=SUM(G117:J117)
241	117	Он строит?	Он строит.	Он строит 	Он строит!	2	3	4	1	=SUM(G118:J118)
552	118	Она шьёт.	Она шьёт 	Она шьёт!	Она шьёт?	3	4	1	2	=SUM(G119:J119)
789	119	Мы клеим 	Мы клеим?	Мы клеим.	Мы клеим!	4	2	3	1	=SUM(G120:J120)
553	120	Вы режете.	Вы режете 	Вы режете!	Вы режете?	3	4	1	2	=SUM(G121:J121)
25	121	Они чинят!	Они чинят.	Они чинят?	Они чинят 	1	3	2	4	=SUM(G122:J122)
242	122	Я готовлю?	Я готовлю!	Я готовлю 	Я готовлю.	2	1	4	3	=SUM(G123:J123)
790	123	Ты печёте 	Ты печёте!	Ты печёте.	Ты печёте?	4	1	3	2	=SUM(G124:J124)
243	124	Он жарит?	Он жарит.	Он жарит!	Он жарит 	2	3	1	4	=SUM(G125:J125)
791	125	Она варит 	Она варит.	Она варит?	Она варит!	4	3	2	1	=SUM(G126:J126)
554	126	Мы мешаем.	Мы мешаем 	Мы мешаем?	Мы мешаем!	3	4	2	1	=SUM(G127:J127)
26	127	Вы наливаете!	Вы наливаете.	Вы наливаете?	Вы наливаете 	1	3	2	4	=SUM(G128:J128)
244	128	Они едят?	Они едят!	Они едят 	Они едят.	2	1	4	3	=SUM(G129:J129)
27	129	Я пью!	Я пью?	Я пью.	Я пью 	1	2	3	4	=SUM(G130:J130)
245	130	Ты кушаешь?	Ты кушаешь.	Ты кушаешь 	Ты кушаешь!	2	3	4	1	=SUM(G131:J131)
555	131	Он глотает.	Он глотает 	Он глотает!	Он глотает?	3	4	1	2	=SUM(G132:J132)
792	132	Она жуёт 	Она жуёт?	Она жуёт.	Она жуёт!	4	2	3	1	=SUM(G133:J133)
556	133	Мы пробуем.	Мы пробуем 	Мы пробуем!	Мы пробуем?	3	4	1	2	=SUM(G134:J134)
28	134	Вы закусываете!	Вы закусываете.	Вы закусываете?	Вы закусываете 	1	3	2	4	=SUM(G135:J135)
246	135	Они обедают?	Они обедают!	Они обедают 	Они обедают.	2	1	4	3	=SUM(G136:J136)
793	136	Я встаю 	Я встаю!	Я встаю.	Я встаю?	4	1	3	2	=SUM(G137:J137)
247	137	Ты садишься?	Ты садишься.	Ты садишься!	Ты садишься 	2	3	1	4	=SUM(G138:J138)
794	138	Он ложится 	Он ложится.	Он ложится?	Он ложится!	4	3	2	1	=SUM(G139:J139)
557	139	Она встаёт.	Она встаёт 	Она встаёт?	Она встаёт!	3	4	2	1	=SUM(G140:J140)
29	140	Мы садимся!	Мы садимся.	Мы садимся?	Мы садимся 	1	3	2	4	=SUM(G141:J141)
248	141	Вы ложитесь?	Вы ложитесь!	Вы ложитесь 	Вы ложитесь.	2	1	4	3	=SUM(G142:J142)
558	142	Они встают.	Они встают 	Они встают!	Они встают?	3	4	1	2	=SUM(G143:J143)
30	143	Я бегу!	Я бегу.	Я бегу?	Я бегу 	1	3	2	4	=SUM(G144:J144)
249	144	Ты плывёшь?	Ты плывёшь!	Ты плывёшь 	Ты плывёшь.	2	1	4	3	=SUM(G145:J145)
795	145	Он летает 	Он летает!	Он летает.	Он летает?	4	1	3	2	=SUM(G146:J146)
250	146	Она прыгает?	Она прыгает.	Она прыгает!	Она прыгает 	2	3	1	4	=SUM(G147:J147)
796	147	Мы ходим 	Мы ходим?	Мы ходим.	Мы ходим!	4	2	3	1	=SUM(G148:J148)
559	148	Вы бегаете.	Вы бегаете 	Вы бегаете!	Вы бегаете?	3	4	1	2	=SUM(G149:J149)
31	149	Они ползут!	Они ползут.	Они ползут?	Они ползут 	1	3	2	4	=SUM(G150:J150)
251	150	Я танцую?	Я танцую!	Я танцую 	Я танцую.	2	1	4	3	=SUM(G151:J151)
797	151	Ты поёшь 	Ты поёшь!	Ты поёшь.	Ты поёшь?	4	1	3	2	=SUM(G152:J152)
252	152	Он играет?	Он играет.	Он играет!	Он играет 	2	3	1	4	=SUM(G153:J153)
798	153	Она смеётся 	Она смеётся.	Она смеётся?	Она смеётся!	4	3	2	1	=SUM(G154:J154)
560	154	Мы плачем.	Мы плачем 	Мы плачем?	Мы плачем!	3	4	2	1	=SUM(G155:J155)
32	155	Вы улыбаетесь!	Вы улыбаетесь.	Вы улыбаетесь?	Вы улыбаетесь 	1	3	2	4	=SUM(G156:J156)
253	156	Они грустят?	Они грустят!	Они грустят 	Они грустят.	2	1	4	3	=SUM(G157:J157)
33	157	Я зову!	Я зову?	Я зову.	Я зову 	1	2	3	4	=SUM(G158:J158)
254	158	Ты кричишь?	Ты кричишь.	Ты кричишь 	Ты кричишь!	2	3	4	1	=SUM(G159:J159)
561	159	Он шепчет.	Он шепчет 	Он шепчет!	Он шепчет?	3	4	1	2	=SUM(G160:J160)
799	160	Она молчит 	Она молчит?	Она молчит.	Она молчит!	4	2	3	1	=SUM(G161:J161)
562	161	Мы спорим.	Мы спорим 	Мы спорим!	Мы спорим?	3	4	1	2	=SUM(G162:J162)
34	162	Вы соглашаетесь!	Вы соглашаетесь.	Вы соглашаетесь?	Вы соглашаетесь 	1	3	2	4	=SUM(G163:J163)
255	163	Они ругаются?	Они ругаются!	Они ругаются 	Они ругаются.	2	1	4	3	=SUM(G164:J164)
800	164	Я помогаю 	Я помогаю!	Я помогаю.	Я помогаю?	4	1	3	2	=SUM(G165:J165)
256	165	Ты спасаешь?	Ты спасаешь.	Ты спасаешь!	Ты спасаешь 	2	3	1	4	=SUM(G166:J166)
801	166	Он защищает 	Он защищает.	Он защищает?	Он защищает!	4	3	2	1	=SUM(G167:J167)
563	167	Она лечит.	Она лечит 	Она лечит?	Она лечит!	3	4	2	1	=SUM(G168:J168)
35	168	Мы учим!	Мы учим.	Мы учим?	Мы учим 	1	3	2	4	=SUM(G169:J169)
257	169	Вы объясняете?	Вы объясняете!	Вы объясняете 	Вы объясняете.	2	1	4	3	=SUM(G170:J170)
564	170	Они показывают.	Они показывают 	Они показывают!	Они показывают?	3	4	1	2	=SUM(G171:J171)
36	171	Я покупаю!	Я покупаю.	Я покупаю?	Я покупаю 	1	3	2	4	=SUM(G172:J172)
258	172	Ты продаёшь?	Ты продаёшь!	Ты продаёшь 	Ты продаёшь.	2	1	4	3	=SUM(G173:J173)
802	173	Он меняет 	Он меняет!	Он меняет.	Он меняет?	4	1	3	2	=SUM(G174:J174)
259	174	Она платит?	Она платит.	Она платит!	Она платит 	2	3	1	4	=SUM(G175:J175)
803	175	Мы копим 	Мы копим.	Мы копим?	Мы копим!	4	3	2	1	=SUM(G176:J176)
565	176	Вы тратите.	Вы тратите 	Вы тратите?	Вы тратите!	3	4	2	1	=SUM(G177:J177)
37	177	Они берут!	Они берут.	Они берут?	Они берут 	1	3	2	4	=SUM(G178:J178)
260	178	Я открываю?	Я открываю!	Я открываю 	Я открываю.	2	1	4	3	=SUM(G179:J179)
38	179	Ты закрываешь!	Ты закрываешь?	Ты закрываешь.	Ты закрываешь 	1	2	3	4	=SUM(G180:J180)
261	180	Он ломает?	Он ломает.	Он ломает 	Он ломает!	2	3	4	1	=SUM(G181:J181)
566	181	Она чинит.	Она чинит 	Она чинит!	Она чинит?	3	4	1	2	=SUM(G182:J182)
804	182	Мы моем 	Мы моем?	Мы моем.	Мы моем!	4	2	3	1	=SUM(G183:J183)
567	183	Вы стираете.	Вы стираете 	Вы стираете!	Вы стираете?	3	4	1	2	=SUM(G184:J184)
39	184	Они сушат!	Они сушат.	Они сушат?	Они сушат 	1	3	2	4	=SUM(G185:J185)
262	185	Я убираю?	Я убираю!	Я убираю 	Я убираю.	2	1	4	3	=SUM(G186:J186)
805	186	Ты пылесосишь 	Ты пылесосишь!	Ты пылесосишь.	Ты пылесосишь?	4	1	3	2	=SUM(G187:J187)
263	187	Он вытирает?	Он вытирает.	Он вытирает!	Он вытирает 	2	3	1	4	=SUM(G188:J188)
806	188	Она подметает 	Она подметает.	Она подметает?	Она подметает!	4	3	2	1	=SUM(G189:J189)
568	189	Мы сортируем.	Мы сортируем 	Мы сортируем?	Мы сортируем!	3	4	2	1	=SUM(G190:J190)
264	190	Вы выбрасываете?	Вы выбрасываете.	Вы выбрасываете 	Вы выбрасываете!	2	3	4	1	=SUM(G191:J191)
569	191	Они уносят.	Они уносят 	Они уносят!	Они уносят?	3	4	1	2	=SUM(G192:J192)
807	192	Я звоню 	Я звоню?	Я звоню.	Я звоню!	4	2	3	1	=SUM(G193:J193)
570	193	Ты пишешь.	Ты пишешь 	Ты пишешь!	Ты пишешь?	3	4	1	2	=SUM(G194:J194)
40	194	Он отправляет!	Он отправляет.	Он отправляет?	Он отправляет 	1	3	2	4	=SUM(G195:J195)
265	195	Она получает?	Она получает!	Она получает 	Она получает.	2	1	4	3	=SUM(G196:J196)
808	196	Мы читаем 	Мы читаем!	Мы читаем.	Мы читаем?	4	1	3	2	=SUM(G197:J197)
266	197	Вы отвечаете?	Вы отвечаете.	Вы отвечаете!	Вы отвечаете 	2	3	1	4	=SUM(G198:J198)
809	198	Они переписывают 	Они переписывают.	Они переписывают?	Они переписывают!	4	3	2	1	=SUM(G199:J199)
571	199	Я смотрю.	Я смотрю 	Я смотрю?	Я смотрю!	3	4	2	1	=SUM(G200:J200)
41	200	Ты наблюдаешь!	Ты наблюдаешь.	Ты наблюдаешь?	Ты наблюдаешь 	1	3	2	4	=SUM(G201:J201)
267	201	Он рассматривает?	Он рассматривает!	Он рассматривает 	Он рассматривает.	2	1	4	3	=SUM(G202:J202)
42	202	Она замечает!	Она замечает?	Она замечает.	Она замечает 	1	2	3	4	=SUM(G203:J203)
268	203	Мы видим?	Мы видим.	Мы видим 	Мы видим!	2	3	4	1	=SUM(G204:J204)
572	204	Вы глядите.	Вы глядите 	Вы глядите!	Вы глядите?	3	4	1	2	=SUM(G205:J205)
810	205	Они смотрят 	Они смотрят?	Они смотрят.	Они смотрят!	4	2	3	1	=SUM(G206:J206)
573	206	Я слышу.	Я слышу 	Я слышу!	Я слышу?	3	4	1	2	=SUM(G207:J207)
43	207	Ты прислушиваешься!	Ты прислушиваешься.	Ты прислушиваешься?	Ты прислушиваешься 	1	3	2	4	=SUM(G208:J208)
269	208	Он различает?	Он различает!	Он различает 	Он различает.	2	1	4	3	=SUM(G209:J209)
811	209	Она улавливает 	Она улавливает!	Она улавливает.	Она улавливает?	4	1	3	2	=SUM(G210:J210)
270	210	Мы слушаем?	Мы слушаем.	Мы слушаем!	Мы слушаем 	2	3	1	4	=SUM(G211:J211)
812	211	Вы вслушиваетесь 	Вы вслушиваетесь.	Вы вслушиваетесь?	Вы вслушиваетесь!	4	3	2	1	=SUM(G212:J212)
574	212	Они слышат.	Они слышат 	Они слышат?	Они слышат!	3	4	2	1	=SUM(G213:J213)
44	213	Я чувствую!	Я чувствую.	Я чувствую?	Я чувствую 	1	3	2	4	=SUM(G214:J214)
271	214	Ты ощущаешь?	Ты ощущаешь!	Ты ощущаешь 	Ты ощущаешь.	2	1	4	3	=SUM(G215:J215)
575	215	Он трогает.	Он трогает 	Он трогает!	Он трогает?	3	4	1	2	=SUM(G216:J216)
45	216	Она гладит!	Она гладит.	Она гладит?	Она гладит 	1	3	2	4	=SUM(G217:J217)
272	217	Мы касаемся?	Мы касаемся!	Мы касаемся 	Мы касаемся.	2	1	4	3	=SUM(G218:J218)
813	218	Вы ощущаете 	Вы ощущаете!	Вы ощущаете.	Вы ощущаете?	4	1	3	2	=SUM(G219:J219)
273	219	Они чувствуют?	Они чувствуют.	Они чувствуют!	Они чувствуют 	2	3	1	4	=SUM(G220:J220)
814	220	Я помню 	Я помню.	Я помню?	Я помню!	4	3	2	1	=SUM(G221:J221)
576	221	Ты запоминаешь.	Ты запоминаешь 	Ты запоминаешь?	Ты запоминаешь!	3	4	2	1	=SUM(G222:J222)
46	222	Он вспоминает!	Он вспоминает.	Он вспоминает?	Он вспоминает 	1	3	2	4	=SUM(G223:J223)
274	223	Она забывает?	Она забывает!	Она забывает 	Она забывает.	2	1	4	3	=SUM(G224:J224)
47	224	Мы храним!	Мы храним?	Мы храним.	Мы храним 	1	2	3	4	=SUM(G225:J225)
275	225	Вы восстанавливаете?	Вы восстанавливаете.	Вы восстанавливаете 	Вы восстанавливаете!	2	3	4	1	=SUM(G226:J226)
577	226	Они помнят.	Они помнят 	Они помнят!	Они помнят?	3	4	1	2	=SUM(G227:J227)
815	227	Я верю 	Я верю?	Я верю.	Я верю!	4	2	3	1	=SUM(G228:J228)
276	228	Ты доверяешь?	Ты доверяешь.	Ты доверяешь 	Ты доверяешь!	2	3	4	1	=SUM(G229:J229)
578	229	Он сомневается.	Он сомневается 	Он сомневается!	Он сомневается?	3	4	1	2	=SUM(G230:J230)
816	230	Она убеждается 	Она убеждается?	Она убеждается.	Она убеждается!	4	2	3	1	=SUM(G231:J231)
579	231	Мы верим.	Мы верим 	Мы верим!	Мы верим?	3	4	1	2	=SUM(G232:J232)
48	232	Вы проверяете!	Вы проверяете.	Вы проверяете?	Вы проверяете 	1	3	2	4	=SUM(G233:J233)
277	233	Они сомневаются?	Они сомневаются!	Они сомневаются 	Они сомневаются.	2	1	4	3	=SUM(G234:J234)
817	234	Я надеюсь 	Я надеюсь!	Я надеюсь.	Я надеюсь?	4	1	3	2	=SUM(G235:J235)
278	235	Ты ждёшь?	Ты ждёшь.	Ты ждёшь!	Ты ждёшь 	2	3	1	4	=SUM(G236:J236)
818	236	Он мечтает 	Он мечтает.	Он мечтает?	Он мечтает!	4	3	2	1	=SUM(G237:J237)
580	237	Она фантазирует.	Она фантазирует 	Она фантазирует?	Она фантазирует!	3	4	2	1	=SUM(G238:J238)
49	238	Мы желаем!	Мы желаем.	Мы желаем?	Мы желаем 	1	3	2	4	=SUM(G239:J239)
279	239	Вы стремитесь?	Вы стремитесь!	Вы стремитесь 	Вы стремитесь.	2	1	4	3	=SUM(G240:J240)
581	240	Они надеяться.	Они надеяться 	Они надеяться!	Они надеяться?	3	4	1	2	=SUM(G241:J241)
50	241	Я боюсь!	Я боюсь.	Я боюсь?	Я боюсь 	1	3	2	4	=SUM(G242:J242)
